date,country_region,confirmed
2019-12-31,Brazil,0
2020-01-01,Brazil,0
2020-01-02,Brazil,0
2020-01-03,Brazil,0
2020-01-04,Brazil,0
2020-01-05,Brazil,0
2020-01-06,Brazil,0
2020-01-07,Brazil,0
2020-01-08,Brazil,0
2020-01-09,Brazil,0
2020-01-10,Brazil,0
2020-01-11,Brazil,0
2020-01-12,Brazil,0
2020-01-13,Brazil,0
2020-01-14,Brazil,0
2020-01-15,Brazil,0
2020-01-16,Brazil,0
2020-01-17,Brazil,0
2020-01-18,Brazil,0
2020-01-19,Brazil,0
2020-01-20,Brazil,0
2020-01-21,Brazil,0
2020-01-22,Brazil,0
2020-01-23,Brazil,0
2020-01-24,Brazil,0
2020-01-25,Brazil,0
2020-01-26,Brazil,0
2020-01-27,Brazil,0
2020-01-28,Brazil,0
2020-01-29,Brazil,0
2020-01-30,Brazil,0
2020-01-31,Brazil,0
2020-02-01,Brazil,0
2020-02-02,Brazil,0
2020-02-03,Brazil,0
2020-02-04,Brazil,0
2020-02-05,Brazil,0
2020-02-06,Brazil,0
2020-02-07,Brazil,0
2020-02-08,Brazil,0
2020-02-09,Brazil,0
2020-02-10,Brazil,0
2020-02-11,Brazil,0
2020-02-12,Brazil,0
2020-02-13,Brazil,0
2020-02-14,Brazil,0
2020-02-15,Brazil,0
2020-02-16,Brazil,0
2020-02-17,Brazil,0
2020-02-18,Brazil,0
2020-02-19,Brazil,0
2020-02-20,Brazil,0
2020-02-21,Brazil,0
2020-02-22,Brazil,0
2020-02-23,Brazil,0
2020-02-24,Brazil,0
2020-02-25,Brazil,0
2020-02-26,Brazil,1
2020-02-27,Brazil,0
2020-02-28,Brazil,0
2020-02-29,Brazil,0
2020-03-01,Brazil,1
2020-03-02,Brazil,0
2020-03-03,Brazil,0
2020-03-04,Brazil,0
2020-03-05,Brazil,1
2020-03-06,Brazil,5
2020-03-07,Brazil,5
2020-03-08,Brazil,0
2020-03-09,Brazil,12
2020-03-10,Brazil,0
2020-03-11,Brazil,9
2020-03-12,Brazil,18
2020-03-13,Brazil,25
