country_region,total_confirmed,total_deaths,total_recovered_estimate
United_States_of_America,16256754,299177,15957577
India,9884100,143355,9740745
Brazil,6901952,181402,6720550
Russia,2653928,46941,2606987
France,2376852,57911,2318941
United_Kingdom,1849403,64170,1785233
Italy,1843712,64520,1779192
Spain,1730575,47624,1682951
Argentina,1498160,40766,1457394
Colombia,1425774,39053,1386721
Germany,1337078,21975,1315103
Mexico,1250044,113953,1136091
Poland,1135676,22864,1112812
Iran,1108269,52196,1056073
Turkey,995471,16199,979272
Peru,984973,36677,948296
Ukraine,900666,15247,885419
South_Africa,860964,23276,837688
Indonesia,617820,18819,599001
Netherlands,612746,10034,602712
